PaymentID,PayerName,FineAmount,PaymentDate
001,John Doe,150.00,2023-01-15
002,Jane Smith,200.00,2023-01-20
003,Emily Johnson,175.50,2023-02-10
004,Michael Brown,300.00,2023-02-15
005,Jessica Davis,250.75,2023-03-05
006,Daniel Wilson,400.00,2023-03-10
007,Sarah Miller,125.00,2023-04-01
008,David Garcia,350.25,2023-04-12
009,Laura Martinez,275.00,2023-05-03
010,James Rodriguez,500.00,2023-05-15
011,Mary Hernandez,600.00,2023-06-01
012,Robert Lopez,450.50,2023-06-10
013,Linda Gonzalez,325.75,2023-07-05
014,William Wilson,700.00,2023-07-15
015,Elizabeth Anderson,800.00,2023-08-01
